step = 	1	 obj = 	935197.6168	 error = 	17.5827
step = 	2	 obj = 	530.5123	 error = 	2.2321
step = 	3	 obj = 	466.9113	 error = 	0.74307
step = 	4	 obj = 	433.9696	 error = 	0.23841
step = 	5	 obj = 	418.6728	 error = 	0.51149
step = 	6	 obj = 	399.5623	 error = 	0.20827
step = 	7	 obj = 	381.1307	 error = 	0.18148
step = 	8	 obj = 	360.4759	 error = 	0.076283
step = 	9	 obj = 	341.7917	 error = 	0.17804
step = 	10	 obj = 	322.4475	 error = 	0.098632
step = 	11	 obj = 	305.9073	 error = 	0.069287
step = 	12	 obj = 	291.7589	 error = 	0.029833
step = 	13	 obj = 	281.0468	 error = 	0.021882
step = 	14	 obj = 	272.7896	 error = 	0.02463
step = 	15	 obj = 	266.3019	 error = 	0.036149
step = 	16	 obj = 	260.8772	 error = 	0.02683
step = 	17	 obj = 	256.2977	 error = 	0.012113
step = 	18	 obj = 	252.3951	 error = 	0.010975
step = 	19	 obj = 	249.0211	 error = 	0.011704
step = 	20	 obj = 	246.0759	 error = 	0.0092398
step = 	21	 obj = 	243.5044	 error = 	0.0070913
step = 	22	 obj = 	241.2592	 error = 	0.0077877
step = 	23	 obj = 	239.2918	 error = 	0.0077785
step = 	24	 obj = 	237.5612	 error = 	0.0068894
step = 	25	 obj = 	236.0335	 error = 	0.0082144
step = 	26	 obj = 	234.6697	 error = 	0.020538
step = 	27	 obj = 	233.4252	 error = 	0.04019
step = 	28	 obj = 	232.2603	 error = 	0.054368
step = 	29	 obj = 	231.1805	 error = 	0.043672
step = 	30	 obj = 	230.25	 error = 	0.0201
step = 	31	 obj = 	229.4828	 error = 	0.0075028
step = 	32	 obj = 	228.8429	 error = 	0.0029619
step = 	33	 obj = 	228.3118	 error = 	0.0024086
step = 	34	 obj = 	227.8678	 error = 	0.0020353
step = 	35	 obj = 	227.4888	 error = 	0.0017145
step = 	36	 obj = 	227.1574	 error = 	0.0014411
step = 	37	 obj = 	226.863	 error = 	0.0012101
step = 	38	 obj = 	226.5982	 error = 	0.0010166
step = 	39	 obj = 	226.3613	 error = 	0.00085392
step = 	40	 obj = 	226.1467	 error = 	0.0023674
step = 	41	 obj = 	225.9267	 error = 	0.0011862
step = 	42	 obj = 	225.7338	 error = 	0.00071589
step = 	43	 obj = 	225.5546	 error = 	0.00071694
step = 	44	 obj = 	225.3849	 error = 	0.00072476
step = 	45	 obj = 	225.2222	 error = 	0.00070766
step = 	46	 obj = 	225.067	 error = 	0.00072528
step = 	47	 obj = 	224.9169	 error = 	0.00073735
step = 	48	 obj = 	224.7702	 error = 	0.00077826
step = 	49	 obj = 	224.6317	 error = 	0.00071819
step = 	50	 obj = 	224.5042	 error = 	0.00066589
step = 	51	 obj = 	224.3854	 error = 	0.00058726
step = 	52	 obj = 	224.2748	 error = 	0.00049907
step = 	53	 obj = 	224.175	 error = 	0.00041209
step = 	54	 obj = 	224.0863	 error = 	0.0003468
step = 	55	 obj = 	224.0073	 error = 	0.00028991
step = 	56	 obj = 	223.9367	 error = 	0.00023945
step = 	57	 obj = 	223.8733	 error = 	0.00019621
step = 	58	 obj = 	223.8157	 error = 	0.00016008
step = 	59	 obj = 	223.7635	 error = 	0.00013042
step = 	60	 obj = 	223.716	 error = 	0.00010634
step = 	61	 obj = 	223.6722	 error = 	8.6927e-05

